metric,value
train_samples,96167.0
best_epoch,3.0
val_accuracy,0.3300522916025838
val_macro_f1,0.3016610007366736
val_balanced_accuracy,0.3344987963320392
val_top3,0.6735363477904235
val_top5,0.836358043678868
val_balanced_top3,0.6650917907913025
val_balanced_top5,0.8271725279306996
test_accuracy,0.32825282976577386
test_macro_f1,0.2857802337236998
test_balanced_accuracy,0.330598506401138
test_top3,0.6758937577048078
test_top5,0.8408606970749748
test_balanced_top3,0.6698495304515041
test_balanced_top5,0.8257225514988674
