class_id,class_name,siamese_recall_at_1,siamese_recall_at_3,siamese_recall_at_5,cnn_recall_at_1,cnn_recall_at_3,cnn_recall_at_5,delta_cnn_minus_siamese_top1,delta_cnn_minus_siamese_top3,delta_cnn_minus_siamese_top5
0,gastric cancer,0.502,0.769,0.879,0.545,0.774,0.891,0.04300000000000004,0.0050000000000000044,0.01200000000000001
1,healthy,0.157,0.637,0.771,0.201,0.616,0.757,0.04400000000000001,-0.02100000000000002,-0.014000000000000012
2,ovarian cancer,0.499,0.688,0.861,0.548,0.704,0.883,0.049000000000000044,0.016000000000000014,0.02200000000000002
3,prostate cancer,0.08,0.538,0.836,0.073,0.591,0.829,-0.007000000000000006,0.052999999999999936,-0.007000000000000006
4,colorectal cancer,0.324,0.69,0.866,0.341,0.673,0.89,0.017000000000000015,-0.016999999999999904,0.02400000000000002
5,lymphoma,0.395,0.701,0.855,0.483,0.709,0.882,0.08799999999999997,0.008000000000000007,0.027000000000000024
6,cervical adenocarcinoma,0.269,0.717,0.863,0.166,0.738,0.887,-0.10300000000000001,0.02100000000000002,0.02400000000000002
7,leukemia,0.236,0.613,0.76,0.277,0.616,0.748,0.041000000000000036,0.0030000000000000027,-0.01200000000000001
8,hypopharyngeal SCC,0.1840277777777778,0.6458333333333334,0.8020833333333334,0.2222222222222222,0.6701388888888888,0.7777777777777778,0.03819444444444442,0.02430555555555547,-0.02430555555555558
9,glioblastoma cancer,0.1452702702702702,0.4864864864864865,0.7905405405405406,0.1722972972972972,0.6081081081081081,0.8445945945945946,0.027027027027027,0.1216216216216216,0.05405405405405406
10,melanoma,0.6622222222222223,0.7822222222222223,0.8622222222222222,0.6711111111111111,0.76,0.8,0.008888888888888835,-0.022222222222222254,-0.06222222222222218
11,hypopharynx cancer,0.2719298245614035,0.6403508771929824,0.7543859649122807,0.2719298245614035,0.5789473684210527,0.7192982456140351,0.0,-0.06140350877192979,-0.03508771929824561
