true_class_id_siamese,true_class,predicted_class_id_siamese,predicted_class,count_siamese,percentage_of_true_class_siamese,true_class_id_cnn,predicted_class_id_cnn,count_cnn,percentage_of_true_class_cnn,delta_cnn_minus_siamese_pct
3,prostate cancer,2,ovarian cancer,308,0.308,3,2,338,0.338,0.030000000000000027
8,hypopharyngeal SCC,11,hypopharynx cancer,86,0.2986111111111111,8,11,65,0.2256944444444444,-0.07291666666666671
9,glioblastoma cancer,7,leukemia,65,0.2195945945945946,9,7,56,0.1891891891891892,-0.0304054054054054
1,healthy,10,melanoma,219,0.219,1,10,209,0.209,-0.010000000000000009
11,hypopharynx cancer,8,hypopharyngeal SCC,24,0.2105263157894736,11,8,22,0.1929824561403508,-0.01754385964912278
6,cervical adenocarcinoma,0,gastric cancer,210,0.21,6,0,261,0.261,0.05100000000000002
6,cervical adenocarcinoma,5,lymphoma,203,0.203,6,5,253,0.253,0.04999999999999999
4,colorectal cancer,6,cervical adenocarcinoma,190,0.19,4,6,104,0.104,-0.08600000000000001
6,cervical adenocarcinoma,4,colorectal cancer,169,0.169,6,4,174,0.174,0.004999999999999977
7,leukemia,10,melanoma,160,0.16,7,10,149,0.149,-0.01100000000000001
5,lymphoma,4,colorectal cancer,144,0.144,5,4,130,0.13,-0.013999999999999985
7,leukemia,9,glioblastoma cancer,144,0.144,7,9,90,0.09,-0.05399999999999999
5,lymphoma,6,cervical adenocarcinoma,142,0.142,5,6,87,0.087,-0.05499999999999999
4,colorectal cancer,0,gastric cancer,140,0.14,4,0,165,0.165,0.024999999999999994
9,glioblastoma cancer,0,gastric cancer,41,0.1385135135135135,9,0,54,0.1824324324324324,0.043918918918918914
7,leukemia,0,gastric cancer,137,0.137,7,0,145,0.145,0.00799999999999998
3,prostate cancer,4,colorectal cancer,137,0.137,3,4,116,0.116,-0.021000000000000005
3,prostate cancer,5,lymphoma,125,0.125,3,5,165,0.165,0.04000000000000001
1,healthy,2,ovarian cancer,124,0.124,1,2,137,0.137,0.013000000000000012
4,colorectal cancer,5,lymphoma,117,0.117,4,5,153,0.153,0.03599999999999999
2,ovarian cancer,5,lymphoma,116,0.116,2,5,149,0.149,0.03299999999999999
0,gastric cancer,4,colorectal cancer,101,0.101,0,4,93,0.093,-0.008000000000000007
8,hypopharyngeal SCC,2,ovarian cancer,28,0.0972222222222222,8,2,40,0.1388888888888889,0.0416666666666667
11,hypopharynx cancer,2,ovarian cancer,11,0.0964912280701754,11,2,13,0.1140350877192982,0.017543859649122792
1,healthy,0,gastric cancer,96,0.096,1,0,113,0.113,0.017
5,lymphoma,2,ovarian cancer,88,0.088,5,2,81,0.081,-0.006999999999999992
