epoch,train_loss,val_loss,train_positive_distance,train_negative_distance,val_positive_distance,val_negative_distance,learning_rate,epoch_seconds
1,0.24058397679805757,0.3967162994861603,0.46421534,0.5213358,0.09356473,0.12089841,0.001,213.01336589999846
2,0.23589679176330566,0.3568969494819641,0.45748845,0.5298338,0.14871725,0.18200596,0.001,189.05372060000082
3,0.23532229460716247,0.276768568277359,0.45366013,0.52809596,0.26392192,0.33715746,0.001,188.60748590000003
4,0.23324759329795838,0.34230521774291994,0.45422795,0.5353889,0.16402079,0.20234758,0.001,178.25425959999848
5,0.23365827293395997,0.25343547093868257,0.45371872,0.53296816,0.33732012,0.41467294,0.001,180.43977509999968
6,0.23323865482330322,0.36559245977401733,0.4581093,0.53954244,0.1363389,0.16595192,0.001,169.1540946999994
7,0.2329523954963684,0.31727704105377197,0.4533576,0.5340453,0.2366366,0.2770808,0.001,178.06393340000068
8,0.231500159368515,0.30601251468658447,0.45242682,0.5382656,0.22345321,0.26881292,0.0005,174.97734320000018
9,0.23160634498119353,0.28001915781497955,0.4540322,0.53678733,0.26937896,0.32376748,0.0005,178.1903128999984
10,0.2291945755290985,0.2934800663948059,0.450259,0.5406083,0.2602186,0.31323057,0.0005,169.43452099999922
