metric,value
train_samples,96167.0
best_semihard_epoch,13.0
val_pairwise_auc,0.67010976
val_top1,0.31210909463754744
val_macro_f1,0.29041699678007055
val_balanced_accuracy,0.31929083960380583
val_top3,0.6618476366246283
val_top5,0.8308212857582282
val_balanced_top3,0.6619314418357889
val_balanced_top5,0.8277592679534901
test_top1,0.3068474728230416
test_macro_f1,0.26884132173021086
test_balanced_accuracy,0.3104541745693062
test_top3,0.6647988344727109
test_top5,0.8333520116552728
test_balanced_top3,0.6589910766029187
test_balanced_top5,0.8250193384173649
