disease,k,median_length,median_sparsity,median_unique_ratio
branchio-oculo-facial syndrome (bofs),4,443.0,30.078125,0.3939418765091411
branchio-oculo-facial syndrome (bofs),5,443.0,68.65234375,0.7057724252491695
branchio-oculo-facial syndrome (bofs),6,443.0,90.2587890625,0.8777501037775011
branchio-oculo-facial syndrome (bofs),7,443.0,97.39990234375,0.9529882677708765
branchio-oculo-facial syndrome (bofs),8,443.0,99.33929443359375,0.9830535176551292
branchio-oculo-facial syndrome (bofs),9,443.0,99.8342514038086,0.9946283614819375
branchio-oculo-facial syndrome (bofs),10,443.0,99.95861053466797,0.9983483483483484
cataract,4,505.5,40.234375,0.33986703774725235
cataract,5,505.5,76.611328125,0.6331216414264778
cataract,6,505.5,92.76123046875,0.8373406348934713
cataract,7,505.5,98.0987548828125,0.9353537294078094
cataract,8,505.5,99.48654174804688,0.9715211989439354
cataract,9,505.5,99.8708724975586,0.9885070998600336
cataract,10,505.5,99.96767044067383,0.9951554690404395
cervical adenocarcinoma,4,551.5,27.734375,0.33479322896504954
cervical adenocarcinoma,5,551.5,64.84375,0.6570327162470561
cervical adenocarcinoma,6,551.5,88.61083984375,0.856298773690078
cervical adenocarcinoma,7,551.5,96.8536376953125,0.9499602643238947
cervical adenocarcinoma,8,551.5,99.18899536132812,0.9839736854394321
cervical adenocarcinoma,9,551.5,99.79476928710938,0.995087096483047
cervical adenocarcinoma,10,551.5,99.94850158691406,0.9995843724023274
chronic kidney disease,4,378.0,29.6875,0.44438822834977654
chronic kidney disease,5,378.0,71.044921875,0.7287701231060606
chronic kidney disease,6,378.0,91.44287109375,0.8879900452390979
chronic kidney disease,7,378.0,97.7630615234375,0.9671328409133516
chronic kidney disease,8,378.0,99.43618774414062,0.9882222814498933
chronic kidney disease,9,378.0,99.85904693603516,0.9962330994589059
chronic kidney disease,10,378.0,99.96480941772461,1.0
colorectal cancer,4,586.0,20.1171875,0.3396726391999584
colorectal cancer,5,586.0,61.03515625,0.6487832859093077
colorectal cancer,6,586.0,87.48779296875,0.8577785268835327
colorectal cancer,7,586.0,96.61865234375,0.9426799758015729
colorectal cancer,8,586.0,99.13864135742188,0.9731132297441014
colorectal cancer,9,586.0,99.7833251953125,0.9907657277787147
colorectal cancer,10,586.0,99.94573593139648,0.9953146933114789
dilated cardiomyopathy,4,479.0,29.8828125,0.34358530850517555
dilated cardiomyopathy,5,479.0,69.921875,0.6084359312336989
dilated cardiomyopathy,6,479.0,90.5517578125,0.8218507108050421
dilated cardiomyopathy,7,479.0,97.47314453125,0.9078720744496145
dilated cardiomyopathy,8,479.0,99.3499755859375,0.9399416216950074
dilated cardiomyopathy,9,479.0,99.83654022216797,0.9625150541951024
dilated cardiomyopathy,10,479.0,99.95903968811035,0.968059925093633
gastric cancer,4,721.5,20.703125,0.2859165325556913
gastric cancer,5,721.5,58.349609375,0.6204734537493158
gastric cancer,6,721.5,85.38818359375,0.8514844035513898
gastric cancer,7,721.5,95.9747314453125,0.9374888168195035
gastric cancer,8,721.5,98.94638061523438,0.9762358252649772
gastric cancer,9,721.5,99.73163604736328,0.9908648957803763
gastric cancer,10,721.5,99.93224143981934,0.9967427438126923
glioblastoma cancer,4,454.5,30.46875,0.3879417788099905
glioblastoma cancer,5,454.5,69.482421875,0.6910406182602444
glioblastoma cancer,6,454.5,90.234375,0.8702664796633941
glioblastoma cancer,7,454.5,97.37548828125,0.9421945701357466
glioblastoma cancer,8,454.5,99.33242797851562,0.9795166849853825
glioblastoma cancer,9,454.5,99.83234405517578,0.9893565278061969
glioblastoma cancer,10,454.5,99.95808601379395,0.9961290713828448
healthy,4,404.5,32.421875,0.3862096491569643
healthy,5,404.5,71.826171875,0.6482892900002448
healthy,6,404.5,91.6015625,0.8117253243792231
healthy,7,404.5,97.7508544921875,0.9167283987199242
healthy,8,404.5,99.41482543945312,0.9612106780298283
healthy,9,404.5,99.85198974609375,0.9797610921501707
healthy,10,404.5,99.96275901794434,0.9895325232935128
hiv infectious disease,4,410.0,29.6875,0.40551260040852644
hiv infectious disease,5,410.0,70.166015625,0.7083747371340097
hiv infectious disease,6,410.0,90.91796875,0.8854953119319575
hiv infectious disease,7,410.0,97.613525390625,0.9623912901327405
hiv infectious disease,8,410.0,99.39422607421875,0.9849015255009108
hiv infectious disease,9,410.0,99.847412109375,0.9949269368624207
hiv infectious disease,10,410.0,99.96180534362793,1.0
hypopharyngeal squamous cell carcinoma,4,438.0,28.125,0.37272727272727274
hypopharyngeal squamous cell carcinoma,5,438.0,70.849609375,0.6528062309149241
hypopharyngeal squamous cell carcinoma,6,438.0,90.8447265625,0.8229601399475197
hypopharyngeal squamous cell carcinoma,7,438.0,97.5311279296875,0.9138589947413477
hypopharyngeal squamous cell carcinoma,8,438.0,99.36065673828125,0.9524997031231445
hypopharyngeal squamous cell carcinoma,9,438.0,99.83844757080078,0.9706066042123447
hypopharyngeal squamous cell carcinoma,10,438.0,99.95946884155273,0.9794605426213515
hypopharynx cancer,4,471.0,30.2734375,0.37033430704316783
hypopharynx cancer,5,471.0,71.826171875,0.6841572504708098
hypopharynx cancer,6,471.0,91.58935546875,0.8549804478251553
hypopharynx cancer,7,471.0,97.6654052734375,0.9275210084033614
hypopharynx cancer,8,471.0,99.35379028320312,0.9561351827073616
hypopharynx cancer,9,471.0,99.8321533203125,0.9754883090782744
hypopharynx cancer,10,471.0,99.95770454406738,0.9826058637898136
leukemia,4,395.5,31.640625,0.4121691748832382
leukemia,5,395.5,71.2890625,0.7135914059105664
leukemia,6,395.5,91.5283203125,0.8773021870777238
leukemia,7,395.5,97.7630615234375,0.9502164502164502
leukemia,8,395.5,99.42855834960938,0.9817935500925191
leukemia,9,395.5,99.85618591308594,0.9945097448262006
leukemia,10,395.5,99.96390342712402,0.9995697074010327
lymphoma,4,366.0,34.9609375,0.44233431037290344
lymphoma,5,366.0,73.2421875,0.7257781018536287
lymphoma,6,366.0,91.943359375,0.9020375853277407
lymphoma,7,366.0,97.8607177734375,0.9619361312276415
lymphoma,8,366.0,99.456787109375,0.9877622704257982
lymphoma,9,366.0,99.8636245727539,0.9964188518554093
lymphoma,10,366.0,99.9659538269043,1.0
melanoma,4,788.0,18.9453125,0.2668707076739325
melanoma,5,788.0,55.17578125,0.6004895960832313
melanoma,6,788.0,84.24072265625,0.854590874811463
melanoma,7,788.0,95.4803466796875,0.9469125014929877
melanoma,8,788.0,98.82659912109375,0.980301724137931
melanoma,9,788.0,99.70417022705078,0.9918019778824629
melanoma,10,788.0,99.92589950561523,0.9971439420870634
ovarian cancer,4,401.0,31.0546875,0.4265079365079365
ovarian cancer,5,401.0,70.80078125,0.7205338122885426
ovarian cancer,6,401.0,91.14990234375,0.8887914147006217
ovarian cancer,7,401.0,97.6776123046875,0.9537953236191121
ovarian cancer,8,401.0,99.40948486328125,0.984392563440893
ovarian cancer,9,401.0,99.85179901123047,0.9945168694399856
ovarian cancer,10,401.0,99.96285438537598,0.9988825130962228
primary pulmonary hypertension,4,395.0,41.2109375,0.37538179204845873
primary pulmonary hypertension,5,395.0,75.732421875,0.6853458473310307
primary pulmonary hypertension,6,395.0,92.76123046875,0.8630099698281517
primary pulmonary hypertension,7,395.0,98.0682373046875,0.9340290044113517
primary pulmonary hypertension,8,395.0,99.50332641601562,0.9751571813505349
primary pulmonary hypertension,9,395.0,99.87525939941406,0.9862135147461235
primary pulmonary hypertension,10,395.0,99.9687671661377,0.9920730654202987
prostate cancer,4,445.0,29.4921875,0.3949531241228317
