length_bin,k,n,median_length,median_distinct,median_unique_ratio,median_occupancy,median_sparsity
long,4,540,1653.0,240.0,0.13533075941961445,93.75,6.25
long,5,540,1653.0,678.5,0.3928724122777584,66.259765625,33.740234375
long,6,540,1653.0,1160.0,0.6916923076923076,28.3203125,71.6796875
long,7,540,1653.0,1421.5,0.8703897928673932,8.6761474609375,91.3238525390625
long,8,540,1653.0,1520.0,0.9443670690188796,2.3193359375,97.6806640625
long,9,540,1653.0,1572.5,0.9722048404887154,0.5998611450195312,99.40013885498047
long,10,540,1653.0,1594.0,0.9850399721500416,0.15201568603515625,99.84798431396484
medium,4,540,463.0,181.0,0.3843129394350561,70.703125,29.296875
medium,5,540,463.0,311.0,0.6940850815850816,30.37109375,69.62890625
medium,6,540,463.0,391.0,0.8814965939347834,9.5458984375,90.4541015625
medium,7,540,463.0,421.0,0.9556264197752271,2.569580078125,97.430419921875
medium,8,540,463.0,432.0,0.9845913442519187,0.6591796875,99.3408203125
medium,9,540,463.0,435.0,0.9943342776203966,0.1659393310546875,99.83406066894531
medium,10,540,463.0,438.0,0.9981532637609986,0.04177093505859375,99.9582290649414
short,4,536,202.0,118.0,0.5953843422687732,46.09375,53.90625
short,5,536,202.0,162.0,0.8389976958525346,15.8203125,84.1796875
short,6,536,202.0,183.0,0.9438202247191011,4.4677734375,95.5322265625
short,7,536,202.0,190.0,0.9805162759798804,1.15966796875,98.84033203125
short,8,536,202.0,193.0,0.9945945945945946,0.29449462890625,99.70550537109375
short,9,536,202.0,193.0,1.0,0.0736236572265625,99.92637634277344
short,10,536,202.0,192.0,1.0,0.018310546875,99.981689453125
